atc_name,atc_code
lorcainide,C01BC07
encainide,C01BC08
ethacizine,C01BC09
amiodarone,C01BD01
bretylium tosilate,C01BD02
bunaftine,C01BD03
dofetilide,C01BD04
ibutilide,C01BD05
tedisamil,C01BD06
dronedarone,C01BD07
moracizine,C01BG01
cibenzoline,C01BG07
vernakalant,C01BG11
etilefrine,C01CA01
isoprenaline,C01CA02
norepinephrine,C01CA03
dopamine,C01CA04
norfenefrine,C01CA05
phenylephrine,C01CA06
dobutamine,C01CA07
oxedrine,C01CA08
metaraminol,C01CA09
methoxamine,C01CA10
mephentermine,C01CA11
dimetofrine,C01CA12
prenalterol,C01CA13
dopexamine,C01CA14
gepefrine,C01CA15
ibopamine,C01CA16
midodrine,C01CA17
octopamine,C01CA18
fenoldopam,C01CA19
cafedrine,C01CA21
arbutamine,C01CA22
theodrenaline,C01CA23
epinephrine,C01CA24
amezinium metilsulfate,C01CA25
ephedrine,C01CA26
droxidopa,C01CA27
centhaquine,C01CA28
"etilefrine, combinations",C01CA51
amrinone,C01CE01
milrinone,C01CE02
enoximone,C01CE03
bucladesine,C01CE04
angiotensinamide,C01CX06
xamoterol,C01CX07
levosimendan,C01CX08
angiotensin II,C01CX09
omecamtiv mecarbil,C01CX10
glyceryl trinitrate,C01DA02
methylpropylpropanediol dinitrate,C01DA04
pentaerithrityl tetranitrate,C01DA05
propatylnitrate,C01DA07
isosorbide dinitrate,C01DA08
trolnitrate,C01DA09
eritrityl tetranitrate,C01DA13
isosorbide mononitrate,C01DA14
organic nitrates in combination,C01DA20
tenitramine,C01DA38
"glyceryl trinitrate, combinations",C01DA52
"methylpropylpropanediol dinitrate, combinations",C01DA54
"pentaerithrityl tetranitrate, combinations",C01DA55
"propatylnitrate, combinations",C01DA57
"isosorbide dinitrate, combinations",C01DA58
"trolnitrate, combinations",C01DA59
"eritrityl tetranitrate, combinations",C01DA63
organic nitrates in combination with psycholeptics,C01DA70
flosequinan,C01DB01
itramin tosilate,C01DX01
prenylamine,C01DX02
oxyfedrine,C01DX03
benziodarone,C01DX04
carbocromen,C01DX05
hexobendine,C01DX06
etafenone,C01DX07
heptaminol,C01DX08
imolamine,C01DX09
dilazep,C01DX10
trapidil,C01DX11
molsidomine,C01DX12
efloxate,C01DX13
cinepazet,C01DX14
cloridarol,C01DX15
nicorandil,C01DX16
linsidomine,C01DX18
nesiritide,C01DX19
serelaxin,C01DX21
vericiguat,C01DX22
"itramin tosilate, combinations",C01DX51
"prenylamine, combinations",C01DX52
"oxyfedrine, combinations",C01DX53
"benziodarone, combinations",C01DX54
alprostadil,C01EA01
camphora,C01EB02
indometacin,C01EB03
crataegus glycosides,C01EB04
creatinolfosfate,C01EB05
fosfocreatine,C01EB06
"fructose 1,6-diphosphate",C01EB07
ubidecarenone,C01EB09
adenosine,C01EB10
tiracizine,C01EB11
acadesine,C01EB13
trimetazidine,C01EB15
ibuprofen,C01EB16
ivabradine,C01EB17
ranolazine,C01EB18
regadenoson,C01EB21
meldonium,C01EB22
tiazotic acid,C01EB23
mavacamten,C01EB24
acoramidis,C01EB25
rescinnamine,C02AA01
reserpine,C02AA02
combinations of rauwolfia alkaloids,C02AA03
"rauwolfia alkaloids, whole root",C02AA04
deserpidine,C02AA05
methoserpidine,C02AA06
bietaserpine,C02AA07
"reserpine, combinations",C02AA52
"combinations of rauwolfia alkoloids, combinations",C02AA53
"bietaserpine, combinations",C02AA57
methyldopa (levorotatory),C02AB01
methyldopa (racemic),C02AB02
clonidine,C02AC01
guanfacine,C02AC02
tolonidine,C02AC04
moxonidine,C02AC05
rilmenidine,C02AC06
trimetaphan,C02BA01
mecamylamine,C02BB01
prazosin,C02CA01
indoramin,C02CA02
trimazosin,C02CA03
doxazosin,C02CA04
urapidil,C02CA06
betanidine,C02CC01
guanethidine,C02CC02
guanoxan,C02CC03
debrisoquine,C02CC04
guanoclor,C02CC05
guanazodine,C02CC06
guanoxabenz,C02CC07
diazoxide,C02DA01
dihydralazine,C02DB01
hydralazine,C02DB02
endralazine,C02DB03
cadralazine,C02DB04
minoxidil,C02DC01
nitroprusside,C02DD01
pinacidil,C02DG01
veratrum,C02KA01
metirosine,C02KB01
pargyline,C02KC01
ketanserin,C02KD01
aprocitentan,C02KN01
bosentan,C02KX01
ambrisentan,C02KX02
sitaxentan,C02KX03
macitentan,C02KX04
riociguat,C02KX05
sotatercept,C02KX06
ambrisentan and tadalafil,C02KX52
macitentan and tadalafil,C02KX54
reserpine and diuretics,C02LA01
rescinnamine and diuretics,C02LA02
deserpidine and diuretics,C02LA03
methoserpidine and diuretics,C02LA04
bietaserpine and diuretics,C02LA07
"rauwolfia alkaloids, whole root and diuretics",C02LA08
syrosingopine and diuretics,C02LA09
combination of rauwolfia alkaloids and diuretics incl. other combinations,C02LA50
"reserpine and diuretics, combinations with other drugs",C02LA51
"rescinnamine and diuretics, combinations with other drugs",C02LA52
"reserpine and diuretics, combinations with psycholeptics",C02LA71
methyldopa (levorotatory) and diuretics,C02LB01
clonidine and diuretics,C02LC01
moxonidine and diuretics,C02LC05
"clonidine and diuretics, combinations with other drugs",C02LC51
prazosin and diuretics,C02LE01
guanethidine and diuretics,C02LF01
dihydralazine and diuretics,C02LG01
hydralazine and diuretics,C02LG02
picodralazine and diuretics,C02LG03
"dihydralazine and diuretics, combinations with other drugs",C02LG51
"picodralazine and diuretics, combinations with psycholeptics",C02LG73
veratrum and diuretics,C02LK01
pargyline and diuretics,C02LL01
pinacidil and diuretics,C02LX01
bendroflumethiazide,C03AA01
hydroflumethiazide,C03AA02
hydrochlorothiazide,C03AA03
chlorothiazide,C03AA04
polythiazide,C03AA05
trichlormethiazide,C03AA06
cyclopenthiazide,C03AA07
methyclothiazide,C03AA08
cyclothiazide,C03AA09
mebutizide,C03AA13
bendroflumethiazide and potassium,C03AB01
hydroflumethiazide and potassium,C03AB02
hydrochlorothiazide and potassium,C03AB03
chlorothiazide and potassium,C03AB04
polythiazide and potassium,C03AB05
trichlormethiazide and potassium,C03AB06
cyclopenthiazide and potassium,C03AB07
methyclothiazide and potassium,C03AB08
cyclothiazide and potassium,C03AB09
"chlorothiazide, combinations",C03AH01
"hydroflumethiazide, combinations",C03AH02
"hydrochlorothiazide, combinations",C03AX01
quinethazone,C03BA02
clopamide,C03BA03
chlortalidone,C03BA04
mefruside,C03BA05
clofenamide,C03BA07
metolazone,C03BA08
meticrane,C03BA09
xipamide,C03BA10
indapamide,C03BA11
clorexolone,C03BA12
fenquizone,C03BA13
"clorexolone, combinations with psycholeptics",C03BA82
quinethazone and potassium,C03BB02
clopamide and potassium,C03BB03
chlortalidone and potassium,C03BB04
mefruside and potassium,C03BB05
clofenamide and potassium,C03BB07
mersalyl,C03BC01
theobromine,C03BD01
cicletanine,C03BX03
furosemide,C03CA01
bumetanide,C03CA02
piretanide,C03CA03
torasemide,C03CA04
furosemide and potassium,C03CB01
bumetanide and potassium,C03CB02
etacrynic acid,C03CC01
tienilic acid,C03CC02
muzolimine,C03CD01
etozolin,C03CX01
spironolactone,C03DA01
potassium canrenoate,C03DA02
canrenone,C03DA03
eplerenone,C03DA04
finerenone,C03DA05
amiloride,C03DB01
triamterene,C03DB02
hydrochlorothiazide and potassium-sparing agents,C03EA01
trichlormethiazide and potassium-sparing agents,C03EA02
epitizide and potassium-sparing agents,C03EA03
altizide and potassium-sparing agents,C03EA04
mebutizide and potassium-sparing agents,C03EA05
chlortalidone and potassium-sparing agents,C03EA06
cyclopenthiazide and potassium-sparing agents,C03EA07
metolazone and potassium-sparing agents,C03EA12
bendroflumethiazide and potassium-sparing agents,C03EA13
butizide and potassium-sparing agents,C03EA14
furosemide and potassium-sparing agents,C03EB01
bumetanide and potassium-sparing agents,C03EB02
tolvaptan,C03XA01
conivaptan,C03XA02
isoxsuprine,C04AA01
buphenine,C04AA02
bamethan,C04AA31
phentolamine,C04AB01
tolazoline,C04AB02
nicotinic acid,C04AC01
nicotinyl alcohol (pyridylcarbinol),C04AC02
inositol nicotinate,C04AC03
ciclonicate,C04AC07
pentifylline,C04AD01
xantinol nicotinate,C04AD02
pentoxifylline,C04AD03
etofylline nicotinate,C04AD04
ergoloid mesylates,C04AE01
nicergoline,C04AE02
dihydroergocristine,C04AE04
"ergoloid mesylates, combinations",C04AE51
"dihydroergocristine, combinations",C04AE54
kallidinogenase,C04AF01
cyclandelate,C04AX01
phenoxybenzamine,C04AX02
vincamine,C04AX07
moxisylyte,C04AX10
bencyclane,C04AX11
vinburnine,C04AX17
suloctidil,C04AX19
buflomedil,C04AX20
naftidrofuryl,C04AX21
butalamine,C04AX23
visnadine,C04AX24
cetiedil,C04AX26
cinepazide,C04AX27
ifenprodil,C04AX28
azapetine,C04AX30
fasudil,C04AX32
clazosentan,C04AX33
hydrocortisone,C05AA01
prednisolone,C05AA04
betamethasone,C05AA05
fluorometholone,C05AA06
fluocortolone,C05AA08
dexamethasone,C05AA09
fluocinolone acetonide,C05AA10
fluocinonide,C05AA11
triamcinolone,C05AA12
lidocaine,C05AD01
tetracaine,C05AD02
benzocaine,C05AD03
cinchocaine,C05AD04
procaine,C05AD05
oxetacaine,C05AD06
pramocaine,C05AD07
glyceryl trinitrate,C05AE01
isosorbide dinitrate,C05AE02
diltiazem,C05AE03
aluminium preparations,C05AX01
"bismuth preparations, combinations",C05AX02
"other preparations, combinations",C05AX03
zinc preparations,C05AX04
tribenoside,C05AX05
phenylephrine,C05AX06
organo-heparinoid,C05BA01
sodium apolate,C05BA02
heparin,C05BA03
pentosan polysulfate sodium,C05BA04
"heparinoid, combinations",C05BA51
"heparin, combinations",C05BA53
monoethanolamine oleate,C05BB01
polidocanol,C05BB02
invert sugar,C05BB03
sodium tetradecyl sulfate,C05BB04
phenol,C05BB05
"glucose, combinations",C05BB56
calcium dobesilate,C05BX01
"calcium dobesilate, combinations",C05BX51
rutoside,C05CA01
monoxerutin,C05CA02
diosmin,C05CA03
troxerutin,C05CA04
hidrosmin,C05CA05
"rutoside, combinations",C05CA51
"diosmin, combinations",C05CA53
"troxerutin, combinations",C05CA54
tribenoside,C05CX01
naftazone,C05CX02
Hippocastani semen,C05CX03
beperminogene perplasmid,C05XX01
alprenolol,C07AA01
oxprenolol,C07AA02
pindolol,C07AA03
propranolol,C07AA05
timolol,C07AA06
sotalol,C07AA07
nadolol,C07AA12
mepindolol,C07AA14
carteolol,C07AA15
tertatolol,C07AA16
bopindolol,C07AA17
bupranolol,C07AA19
penbutolol,C07AA23
cloranolol,C07AA27
practolol,C07AB01
metoprolol,C07AB02
atenolol,C07AB03
acebutolol,C07AB04
betaxolol,C07AB05
bevantolol,C07AB06
bisoprolol,C07AB07
celiprolol,C07AB08
esmolol,C07AB09
epanolol,C07AB10
s-atenolol,C07AB11
nebivolol,C07AB12
talinolol,C07AB13
landiolol,C07AB14
labetalol,C07AG01
carvedilol,C07AG02
oxprenolol and thiazides,C07BA02
propranolol and thiazides,C07BA05
timolol and thiazides,C07BA06
sotalol and thiazides,C07BA07
nadolol and thiazides,C07BA12
"metipranolol and thiazides, combinations",C07BA68
metoprolol and thiazides,C07BB02
atenolol and thiazides,C07BB03
acebutolol and thiazides,C07BB04
bevantolol and thiazides,C07BB06
bisoprolol and thiazides,C07BB07
nebivolol and thiazides,C07BB12
"metoprolol and thiazides, combinations",C07BB52
labetalol and thiazides,C07BG01
oxprenolol and other diuretics,C07CA02
pindolol and other diuretics,C07CA03
bopindolol and other diuretics,C07CA17
penbutolol and other diuretics,C07CA23
metoprolol and other diuretics,C07CB02
atenolol and other diuretics,C07CB03
"atenolol and other diuretics, combinations",C07CB53
labetalol and other diuretics,C07CG01
"timolol, thiazides and other diuretics",C07DA06
"atenolol, thiazides and other diuretics",C07DB01
metoprolol and felodipine,C07FB02
atenolol and nifedipine,C07FB03
bisoprolol and amlodipine,C07FB07
nebivolol and amlodipine,C07FB12
metoprolol and amlodipine,C07FB13
propranolol and other combinations,C07FX01
sotalol and acetylsalicylic acid,C07FX02
metoprolol and acetylsalicylic acid,C07FX03
bisoprolol and acetylsalicylic acid,C07FX04
metoprolol and ivabradine,C07FX05
carvedilol and ivabradine,C07FX06
amlodipine,C08CA01
felodipine,C08CA02
isradipine,C08CA03
nicardipine,C08CA04
nifedipine,C08CA05
nimodipine,C08CA06
nisoldipine,C08CA07
nitrendipine,C08CA08
lacidipine,C08CA09
nilvadipine,C08CA10
manidipine,C08CA11
barnidipine,C08CA12
lercanidipine,C08CA13
cilnidipine,C08CA14
benidipine,C08CA15
clevidipine,C08CA16
levamlodipine,C08CA17
amlodipine and celecoxib,C08CA51
"nifedipine, combinations",C08CA55
mibefradil,C08CX01
verapamil,C08DA01
gallopamil,C08DA02
etripamil,C08DA03
"verapamil, combinations",C08DA51
diltiazem,C08DB01
fendiline,C08EA01
bepridil,C08EA02
lidoflazine,C08EX01
perhexiline,C08EX02
nifedipine and diuretics,C08GA01
amlodipine and diuretics,C08GA02
captopril,C09AA01
enalapril,C09AA02
lisinopril,C09AA03
perindopril,C09AA04
ramipril,C09AA05
quinapril,C09AA06
benazepril,C09AA07
cilazapril,C09AA08
fosinopril,C09AA09
trandolapril,C09AA10
spirapril,C09AA11
delapril,C09AA12
moexipril,C09AA13
temocapril,C09AA14
zofenopril,C09AA15
imidapril,C09AA16
captopril and diuretics,C09BA01
enalapril and diuretics,C09BA02
lisinopril and diuretics,C09BA03
perindopril and diuretics,C09BA04
ramipril and diuretics,C09BA05
quinapril and diuretics,C09BA06
benazepril and diuretics,C09BA07
cilazapril and diuretics,C09BA08
fosinopril and diuretics,C09BA09
delapril and diuretics,C09BA12
moexipril and diuretics,C09BA13
zofenopril and diuretics,C09BA15
enalapril and lercanidipine,C09BB02
lisinopril and amlodipine,C09BB03
perindopril and amlodipine,C09BB04
ramipril and felodipine,C09BB05
enalapril and nitrendipine,C09BB06
ramipril and amlodipine,C09BB07
trandolapril and verapamil,C09BB10
delapril and manidipine,C09BB12
benazepril and amlodipine,C09BB13
"perindopril, amlodipine and indapamide",C09BX01
perindopril and bisoprolol,C09BX02
"ramipril, amlodipine and hydrochlorothiazide",C09BX03
"perindopril, bisoprolol and amlodipine",C09BX04
ramipril and bisoprolol,C09BX05
"perindopril, bisoprolol, amlodipine and indapamide",C09BX06
zofenopril and nebivolol,C09BX07
losartan,C09CA01
eprosartan,C09CA02
valsartan,C09CA03
irbesartan,C09CA04
tasosartan,C09CA05
candesartan,C09CA06
telmisartan,C09CA07
olmesartan medoxomil,C09CA08
azilsartan medoxomil,C09CA09
fimasartan,C09CA10
losartan and diuretics,C09DA01
eprosartan and diuretics,C09DA02
valsartan and diuretics,C09DA03
irbesartan and diuretics,C09DA04
candesartan and diuretics,C09DA06
telmisartan and diuretics,C09DA07
olmesartan medoxomil and diuretics,C09DA08
azilsartan medoxomil and diuretics,C09DA09
fimasartan and diuretics,C09DA10
valsartan and amlodipine,C09DB01
olmesartan medoxomil and amlodipine,C09DB02
telmisartan and amlodipine,C09DB04
irbesartan and amlodipine,C09DB05
losartan and amlodipine,C09DB06
candesartan and amlodipine,C09DB07
valsartan and lercanidipine,C09DB08
fimasartan and amlodipine,C09DB09
"valsartan, amlodipine and hydrochlorothiazide",C09DX01
valsartan and aliskiren,C09DX02
"olmesartan medoxomil, amlodipine and hydrochlorothiazide",C09DX03
valsartan and sacubitril,C09DX04
valsartan and nebivolol,C09DX05
"candesartan, amlodipine and hydrochlorothiazide",C09DX06
"irbesartan, amlodipine and hydrochlorothiazide",C09DX07
"telmisartan, amlodipine and hydrochlorothiazide",C09DX08
remikiren,C09XA01
aliskiren,C09XA02
aliskiren and hydrochlorothiazide,C09XA52
aliskiren and amlodipine,C09XA53
"aliskiren, amlodipine and hydrochlorothiazide",C09XA54
sparsentan,C09XX01
simvastatin,C10AA01
lovastatin,C10AA02
pravastatin,C10AA03
fluvastatin,C10AA04
atorvastatin,C10AA05
cerivastatin,C10AA06
rosuvastatin,C10AA07
pitavastatin,C10AA08
clofibrate,C10AB01
bezafibrate,C10AB02
aluminium clofibrate,C10AB03
gemfibrozil,C10AB04
fenofibrate,C10AB05
simfibrate,C10AB06
ronifibrate,C10AB07
ciprofibrate,C10AB08
etofibrate,C10AB09
clofibride,C10AB10
choline fenofibrate,C10AB11
pemafibrate,C10AB12
colestyramine,C10AC01
colestipol,C10AC02
colextran,C10AC03
colesevelam,C10AC04
niceritrol,C10AD01
nicotinic acid,C10AD02
nicofuranose,C10AD03
aluminium nicotinate,C10AD04
nicotinyl alcohol (pyridylcarbinol),C10AD05
acipimox,C10AD06
"nicotinic acid, combinations",C10AD52
dextrothyroxine,C10AX01
probucol,C10AX02
tiadenol,C10AX03
meglutol,C10AX05
omega-3-triglycerides incl. other esters and acids,C10AX06
magnesium pyridoxal 5-phosphate glutamate,C10AX07
policosanol,C10AX08
ezetimibe,C10AX09
alipogene tiparvovec,C10AX10
mipomersen,C10AX11
lomitapide,C10AX12
evolocumab,C10AX13
alirocumab,C10AX14
bempedoic acid,C10AX15
inclisiran,C10AX16
evinacumab,C10AX17
volanesorsen,C10AX18
lovastatin and nicotinic acid,C10BA01
simvastatin and ezetimibe,C10BA02
pravastatin and fenofibrate,C10BA03
simvastatin and fenofibrate,C10BA04
atorvastatin and ezetimibe,C10BA05
rosuvastatin and ezetimibe,C10BA06
rosuvastatin and omega-3 fatty acids,C10BA07
atorvastatin and omega-3 fatty acids,C10BA08
rosuvastatin and fenofibrate,C10BA09
bempedoic acid and ezetimibe,C10BA10
pravastatin and ezetimibe,C10BA11
"pravastatin, ezetimibe and fenofibrate",C10BA12
pitavastatin and ezetimibe,C10BA13
simvastatin and acetylsalicylic acid,C10BX01
pravastatin and acetylsalicylic acid,C10BX02
atorvastatin and amlodipine,C10BX03
"simvastatin, acetylsalicylic acid and ramipril",C10BX04
rosuvastatin and acetylsalicylic acid,C10BX05
"atorvastatin, acetylsalicylic acid and ramipril",C10BX06
"rosuvastatin, amlodipine and lisinopril",C10BX07
atorvastatin and acetylsalicylic acid,C10BX08
rosuvastatin and amlodipine,C10BX09
rosuvastatin and valsartan,C10BX10
"atorvastatin, amlodipine and perindopril",C10BX11
"atorvastatin, acetylsalicylic acid and perindopril",C10BX12
"rosuvastatin, perindopril and indapamide",C10BX13
"rosuvastatin, amlodipine and perindopril",C10BX14
atorvastatin and perindopril,C10BX15
rosuvastatin and fimasartan,C10BX16
rosuvastatin and ramipril,C10BX17
"atorvastatin, amlodipine and ramipril",C10BX18
"atorvastatin, amlodipine and candesartan",C10BX19
rosuvastatin and telmisartan,C10BX20
rosuvastatin and perindopril,C10BX21
rosuvastatin and nebivolol,C10BX22
nystatin,D01AA01
natamycin,D01AA02
hachimycin,D01AA03
pecilocin,D01AA04
mepartricin,D01AA06
pyrrolnitrin,D01AA07
griseofulvin,D01AA08
antibiotics in combination with corticosteroids,D01AA20
clotrimazole,D01AC01
miconazole,D01AC02
econazole,D01AC03
chlormidazole,D01AC04
isoconazole,D01AC05
tiabendazole,D01AC06
tioconazole,D01AC07
ketoconazole,D01AC08
sulconazole,D01AC09
bifonazole,D01AC10
oxiconazole,D01AC11
fenticonazole,D01AC12
omoconazole,D01AC13
sertaconazole,D01AC14
fluconazole,D01AC15
flutrimazole,D01AC16
eberconazole,D01AC17
luliconazole,D01AC18
efinaconazole,D01AC19
imidazoles/triazoles in combination with corticosteroids,D01AC20
neticonazole,D01AC21
lanoconazole,D01AC22
"miconazole, combinations",D01AC52
"bifonazole, combinations",D01AC60
bromochlorosalicylanilide,D01AE01
methylrosaniline,D01AE02
tribromometacresol,D01AE03
undecylenic acid,D01AE04
polynoxylin,D01AE05
2-(4-chlorphenoxy)-ethanol,D01AE06
chlorphenesin,D01AE07
ticlatone,D01AE08
sulbentine,D01AE09
ethyl hydroxybenzoate,D01AE10
haloprogin,D01AE11
salicylic acid,D01AE12
selenium sulfide,D01AE13
ciclopirox,D01AE14
terbinafine,D01AE15
amorolfine,D01AE16
dimazole,D01AE17
tolnaftate,D01AE18
tolciclate,D01AE19
flucytosine,D01AE21
naftifine,D01AE22
butenafine,D01AE23
tavaborole,D01AE24
liranaftate,D01AE25
"undecylenic acid, combinations",D01AE54
griseofulvin,D01BA01
terbinafine,D01BA02
fosravuconazole,D01BA03
carbamide,D02AE01
"carbamide, combinations",D02AE51
aminobenzoic acid,D02BA01
octinoxate,D02BA02
betacarotene,D02BB01
afamelanotide,D02BB02
cadexomer iodine,D03AX01
dextranomer,D03AX02
dexpanthenol,D03AX03
calcium pantothenate,D03AX04
hyaluronic acid,D03AX05
becaplermin,D03AX06
crilanomer,D03AX09
enoxolone,D03AX10
sodium chlorite,D03AX11
trolamine,D03AX12
Betulae cortex,D03AX13
"Centella asiatica herba, incl. combinations",D03AX14
trafermin,D03AX15
beremagene geperpavec,D03AX16
trypsin,D03BA01
collagenase,D03BA02
bromelains,D03BA03
"collagenase, combinations",D03BA52
thonzylamine,D04AA01
mepyramine,D04AA02
thenalidine,D04AA03
tripelennamine,D04AA04
chloropyramine,D04AA09
promethazine,D04AA10
tolpropamine,D04AA12
dimetindene,D04AA13
clemastine,D04AA14
bamipine,D04AA15
pheniramine,D04AA16
isothipendyl,D04AA22
diphenhydramine,D04AA32
diphenhydramine methylbromide,D04AA33
chlorphenoxamine,D04AA34
lidocaine,D04AB01
cinchocaine,D04AB02
oxybuprocaine,D04AB03
benzocaine,D04AB04
quinisocaine,D04AB05
tetracaine,D04AB06
pramocaine,D04AB07
doxepin,D04AX01
dithranol,D05AC01
"dithranol, combinations",D05AC51
trioxysalen,D05AD01
methoxsalen,D05AD02
fumaric acid,D05AX01
calcipotriol,D05AX02
calcitriol,D05AX03
tacalcitol,D05AX04
tazarotene,D05AX05
roflumilast,D05AX06
tapinarof,D05AX07
"calcipotriol, combinations",D05AX52
tazarotene and ulobetasol,D05AX55
trioxysalen,D05BA01
methoxsalen,D05BA02
bergapten,D05BA03
etretinate,D05BB01
acitretin,D05BB02
"fumaric acid derivatives, combinations",D05BX51
demeclocycline,D06AA01
chlortetracycline,D06AA02
oxytetracycline,D06AA03
tetracycline,D06AA04
fusidic acid,D06AX01
chloramphenicol,D06AX02
neomycin,D06AX04
bacitracin,D06AX05
gentamicin,D06AX07
tyrothricin,D06AX08
mupirocin,D06AX09
virginiamycin,D06AX10
rifaximin,D06AX11
amikacin,D06AX12
retapamulin,D06AX13
ozenoxacin,D06AX14
rifamycin,D06AX15
silver sulfadiazine,D06BA01
sulfathiazole,D06BA02
mafenide,D06BA03
sulfamethizole,D06BA04
sulfanilamide,D06BA05
sulfamerazine,D06BA06
"silver sulfadiazine, combinations",D06BA51
idoxuridine,D06BB01
tromantadine,D06BB02
aciclovir,D06BB03
podophyllotoxin,D06BB04
inosine,D06BB05
penciclovir,D06BB06
lysozyme,D06BB07
ibacitabine,D06BB08
edoxudine,D06BB09
imiquimod,D06BB10
docosanol,D06BB11
sinecatechins,D06BB12
"aciclovir, combinations",D06BB53
metronidazole,D06BX01
ingenol mebutate,D06BX02
tirbanibulin,D06BX03
methylprednisolone,D07AA01
hydrocortisone,D07AA02
prednisolone,D07AA03
clobetasone,D07AB01
hydrocortisone butyrate,D07AB02
flumetasone,D07AB03
fluocortin,D07AB04
fluperolone,D07AB05
fluorometholone,D07AB06
fluprednidene,D07AB07
desonide,D07AB08
triamcinolone,D07AB09
alclometasone,D07AB10
hydrocortisone buteprate,D07AB11
dexamethasone,D07AB19
clocortolone,D07AB21
combinations of corticosteroids,D07AB30
betamethasone,D07AC01
fluclorolone,D07AC02
desoximetasone,D07AC03
fluocinolone acetonide,D07AC04
fluocortolone,D07AC05
diflucortolone,D07AC06
fludroxycortide,D07AC07
fluocinonide,D07AC08
budesonide,D07AC09
diflorasone,D07AC10
amcinonide,D07AC11
halometasone,D07AC12
mometasone,D07AC13
methylprednisolone aceponate,D07AC14
beclometasone,D07AC15
hydrocortisone aceponate,D07AC16
fluticasone,D07AC17
prednicarbate,D07AC18
difluprednate,D07AC19
ulobetasol,D07AC21
clobetasol,D07AD01
halcinonide,D07AD02
prednisolone and antiseptics,D07BA01
hydrocortisone and antiseptics,D07BA04
flumetasone and antiseptics,D07BB01
desonide and antiseptics,D07BB02
triamcinolone and antiseptics,D07BB03
hydrocortisone butyrate and antiseptics,D07BB04
betamethasone and antiseptics,D07BC01
fluocinolone acetonide and antiseptics,D07BC02
fluocortolone and antiseptics,D07BC03
diflucortolone and antiseptics,D07BC04
hydrocortisone and antibiotics,D07CA01
methylprednisolone and antibiotics,D07CA02
prednisolone and antibiotics,D07CA03
triamcinolone and antibiotics,D07CB01
fluprednidene and antibiotics,D07CB02
fluorometholone and antibiotics,D07CB03
dexamethasone and antibiotics,D07CB04
flumetasone and antibiotics,D07CB05
betamethasone and antibiotics,D07CC01
fluocinolone acetonide and antibiotics,D07CC02
fludroxycortide and antibiotics,D07CC03
beclometasone and antibiotics,D07CC04
fluocinonide and antibiotics,D07CC05
fluocortolone and antibiotics,D07CC06
clobetasol and antibiotics,D07CD01
hydrocortisone,D07XA01
prednisolone,D07XA02
flumetasone,D07XB01
triamcinolone,D07XB02
fluprednidene,D07XB03
fluorometholone,D07XB04
dexamethasone,D07XB05
combinations of corticosteroids,D07XB30
betamethasone,D07XC01
desoximetasone,D07XC02
mometasone,D07XC03
diflucortolone,D07XC04
fluocortolone,D07XC05
ethacridine lactate,D08AA01
aminoacridine,D08AA02
euflavine,D08AA03
dibrompropamidine,D08AC01
chlorhexidine,D08AC02
propamidine,D08AC03
hexamidine,D08AC04
polihexanide,D08AC05
"chlorhexidine, combinations",D08AC52
hexachlorophene,D08AE01
policresulen,D08AE02
phenol,D08AE03
triclosan,D08AE04
chloroxylenol,D08AE05
biphenylol,D08AE06
nitrofural,D08AF01
iodine/octylphenoxypolyglycolether,D08AG01
povidone-iodine,D08AG02
iodine,D08AG03
diiodohydroxypropane,D08AG04
dequalinium,D08AH01
chlorquinaldol,D08AH02
oxyquinoline,D08AH03
clioquinol,D08AH30
benzalkonium,D08AJ01
cetrimonium,D08AJ02
cetylpyridinium,D08AJ03
cetrimide,D08AJ04
benzoxonium chloride,D08AJ05
didecyldimethylammonium chloride,D08AJ06
benzethonium chloride,D08AJ08
decamethoxine,D08AJ10
"octenidine, combinations",D08AJ57
"benzethonium chloride, combinations",D08AJ58
"dodeclonium bromide, combinations",D08AJ59
mercuric amidochloride,D08AK01
phenylmercuric borate,D08AK02
mercuric chloride,D08AK03
merbromin,D08AK04
"mercury, metallic",D08AK05
thiomersal,D08AK06
mercuric iodide,D08AK30
silver nitrate,D08AL01
silver,D08AL30
hydrogen peroxide,D08AX01
eosin,D08AX02
propanol,D08AX03
tosylchloramide sodium,D08AX04
isopropanol,D08AX05
potassium permanganate,D08AX06
sodium hypochlorite,D08AX07
ethanol,D08AX08
"propanol, combinations",D08AX53
framycetin,D09AA01
fusidic acid,D09AA02
nitrofural,D09AA03
phenylmercuric nitrate,D09AA04
benzododecinium,D09AA05
triclosan,D09AA06
cetylpyridinium,D09AA07
aluminium chlorohydrate,D09AA08
povidone-iodine,D09AA09
clioquinol,D09AA10
benzalkonium,D09AA11
chlorhexidine,D09AA12
iodoform,D09AA13
zinc bandage without supplements,D09AB01
zinc bandage with supplements,D09AB02
fluorometholone,D10AA01
methylprednisolone,D10AA02
dexamethasone,D10AA03
bithionol,D10AB01
sulfur,D10AB02
tioxolone,D10AB03
mesulfen,D10AB05
tretinoin,D10AD01
retinol,D10AD02
adapalene,D10AD03
isotretinoin,D10AD04
motretinide,D10AD05
trifarotene,D10AD06
"tretinoin, combinations",D10AD51
"adapalene, combinations",D10AD53
"isotretinoin, combinations",D10AD54
benzoyl peroxide,D10AE01
"benzoyl peroxide, combinations",D10AE51
clindamycin,D10AF01
erythromycin,D10AF02
